language,section,type,ipa,example,filename
English (British RP),Monophthongs,phoneme,iː,heat,english-phoneme-ii.mp3
English (British RP),Monophthongs,word,,heat,english-word-heat.mp3
English (British RP),Monophthongs,phoneme,ɪ,hit,english-phoneme-ih.mp3
English (British RP),Monophthongs,word,,hit,english-word-hit.mp3
English (British RP),Monophthongs,phoneme,ʊ,put,english-phoneme-uh.mp3
English (British RP),Monophthongs,word,,put,english-word-put.mp3
English (British RP),Monophthongs,phoneme,uː,pool,english-phoneme-oo.mp3
English (British RP),Monophthongs,word,,pool,english-word-pool.mp3
English (British RP),Monophthongs,phoneme,e,bread,english-phoneme-e.mp3
English (British RP),Monophthongs,word,,bread,english-word-bread.mp3
English (British RP),Monophthongs,phoneme,ə,about,english-phoneme-schwa.mp3
English (British RP),Monophthongs,word,,about,english-word-about.mp3
English (British RP),Monophthongs,phoneme,ɜː,world,english-phoneme-er.mp3
English (British RP),Monophthongs,word,,world,english-word-world.mp3
English (British RP),Monophthongs,phoneme,ɔː,horse,english-phoneme-or.mp3
English (British RP),Monophthongs,word,,horse,english-word-horse.mp3
English (British RP),Monophthongs,phoneme,æ,bat,english-phoneme-ae.mp3
English (British RP),Monophthongs,word,,bat,english-word-bat.mp3
English (British RP),Monophthongs,phoneme,ʌ,cup,english-phoneme-Lambda.mp3
English (British RP),Monophthongs,word,,cup,english-word-cup.mp3
English (British RP),Monophthongs,phoneme,aː,bar,english-phoneme-aa.mp3
English (British RP),Monophthongs,word,,bar,english-word-bar.mp3
English (British RP),Monophthongs,phoneme,ɒ,hot,english-phoneme-ot.mp3
English (British RP),Monophthongs,word,,hot,english-word-hot.mp3
English (British RP),Diphthongs,phoneme,eɪ,late,english-phoneme-ei.mp3
English (British RP),Diphthongs,word,,late,english-word-late.mp3
English (British RP),Diphthongs,phoneme,aɪ,why,english-phoneme-ai.mp3
English (British RP),Diphthongs,word,,why,english-word-why.mp3
English (British RP),Diphthongs,phoneme,ɔɪ,toy,english-phoneme-oi.mp3
English (British RP),Diphthongs,word,,toy,english-word-toy.mp3
English (British RP),Diphthongs,phoneme,əʊ,blow,english-phoneme-ou.mp3
English (British RP),Diphthongs,word,,blow,english-word-blow.mp3
English (British RP),Diphthongs,phoneme,aʊ,how,english-phoneme-au.mp3
English (British RP),Diphthongs,word,,how,english-word-how.mp3
English (British RP),Diphthongs,phoneme,ɪə,here,english-phoneme-ia.mp3
English (British RP),Diphthongs,word,,here,english-word-here.mp3
English (British RP),Diphthongs,phoneme,eə,there,english-phoneme-ea.mp3
English (British RP),Diphthongs,word,,there,english-word-there.mp3
English (British RP),Diphthongs,phoneme,ʊə,tour,english-phoneme-ua.mp3
English (British RP),Diphthongs,word,,tour,english-word-tour.mp3
English (British RP),Consonants,phoneme,p,pick,english-phoneme-p.mp3
English (British RP),Consonants,word,,pick,english-word-pick.mp3
English (British RP),Consonants,phoneme,t,tango,english-phoneme-t.mp3
English (British RP),Consonants,word,,tango,english-word-tango.mp3
English (British RP),Consonants,phoneme,k,kilo,english-phoneme-k.mp3
English (British RP),Consonants,word,,kilo,english-word-kilo.mp3
English (British RP),Consonants,phoneme,tʃ,choose,english-phoneme-ch.mp3
English (British RP),Consonants,word,,choose,english-word-choose.mp3
English (British RP),Consonants,phoneme,f,fly,english-phoneme-f.mp3
English (British RP),Consonants,word,,fly,english-word-fly.mp3
English (British RP),Consonants,phoneme,θ,thank,english-phoneme-theta.mp3
English (British RP),Consonants,word,,thank,english-word-thank.mp3
